,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
2543,14105577,1643524988,0xcce517886bd617dc0b96a4a92d9177851e84bfd190e4707d14bf821d668361ea,91,0x342c5673c67f86375e7255167c69b779d43fefec80dc7b02f1564d0f40751e55,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0xa5bedc9216565b75f0122b84e5614b8eb79bdcdd,9877000000000000000000000,Chedda Token,CHEDDA,18,75,57637,69476885372,38425,5945033,deprecated,500475
2583,14105977,1643530083,0xb9e71ee3a30f65551c34d57924ce291d578cc713fbc17de5dfa70b301e1d0354,92,0xf43058bb0243c9b9d683dac847559feff09514948002bd34a6cd09ffb0a716dc,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0xa5bedc9216565b75f0122b84e5614b8eb79bdcdd,9877000000000000000000000,Chedda Token,CHEDDA,18,22,57637,64592817393,38425,1628183,deprecated,500075
2740,14108702,1643565909,0x7fb3f52b3dc18873b7b6cc0f0a23d00da35801bc225e19f74b9d0a8b30948d76,93,0x9fe704c30aef3040653ec7fdeb0055987cc75564ada711241937566699c8a188,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0xa0535f50a417fa63c9d7382f1dfe94c347b92ed4,7914320000000000000000000,Chedda Token,CHEDDA,18,90,57637,114219892110,38425,8245779,deprecated,497350
2741,14108712,1643566080,0xe3613ce452e63f63338f3d0ea9c333f3982275f1d317afcb93707bb32d807a4d,94,0x421cebbd63caf12685e5d45daf73af7cff8480308d5cac9d3e1d995749dc655a,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0xc6abb7f84c56b512e9e35afca3c00a98061c288f,66000000000000000000000000,Chedda Token,CHEDDA,18,69,57619,143734726935,38413,4132992,deprecated,497340
2892,14109290,1643573869,0x38e6c095c10b810d758949b7041db44ca0d7d9684e6f2c813efa6e26e891e34f,96,0x0e66fee74ec726974eb8516ef6927f17a2f07488f71d4d1832b6992e57786b09,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0x33fff662d5cf99015927733f6498138d9ceacab0,20000000000000000000000000,Chedda Token,CHEDDA,18,241,57619,132217108624,38413,22660007,deprecated,496762
2911,14109345,1643574535,0xe09d2b2f635512af464c108c1a960640510af6678869c02dc0e028cfd8f82a94,97,0x65737c091bec653cbcc938e2803fe68a7e2ef8f5b3c8426bfdbf7c17a02b0d91,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0xaf10b46a3d6de5863e990de86d5ad24eafe249e7,350000000000000000000000,Chedda Token,CHEDDA,18,117,83269,86528861679,55513,10862034,deprecated,496707
3305,14110606,1643591377,0x5994010486eb408b963aed993e61a3fd709f2903fef9d5206577c2693b47e34b,98,0x17b90a0872f4daaf6bcce3cc65ab8bb0b83c722bc9854abc6cd26ca38bd0466c,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0xc88a598869410aa843405eee3cb4cfac9396d387,3754993000000000000000000,Chedda Token,CHEDDA,18,270,57637,89064433578,38425,25285538,deprecated,495446
3306,14110608,1643591395,0xdf594044cc1326dc8da38ddd0ec779703fa1150eb433a83b6704d920f54417f3,99,0xaf2993b2cb915691bfb381a84efe6c72d1cd005d0651e20505d4c9111ecc1f74,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0x60511e1a25e01a4d38a4cdfb15519af8419c3792,3754994000000000000000000,Chedda Token,CHEDDA,18,297,57637,98137898337,38425,28520343,deprecated,495444
1,13993362,1642025752,0xb1fe332176e2c87a59f101c912203fb70f17549c9452be31a6e014933b2c00ad,10,0x6b9185df860f682df8ff4066a008b59b1486bcca6ab039da4ed4d269b15683e4,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0x9625088c654d26b9132feb52d37107ab898d19c6,134000000000000000000000000,Chedda Token,CHEDDA,18,235,3342550,178793625558,2743763,16805805,deprecated,612687
2,13993362,1642025752,0xb1fe332176e2c87a59f101c912203fb70f17549c9452be31a6e014933b2c00ad,10,0x6b9185df860f682df8ff4066a008b59b1486bcca6ab039da4ed4d269b15683e4,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0x0000000000000000000000000000000000000000,67000000000000000000000000,Chedda Token,CHEDDA,18,235,3342550,178793625558,2743763,16805805,deprecated,612687
3,13993362,1642025752,0xb1fe332176e2c87a59f101c912203fb70f17549c9452be31a6e014933b2c00ad,10,0x6b9185df860f682df8ff4066a008b59b1486bcca6ab039da4ed4d269b15683e4,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0x32a505bf9db617d23bf3ebaac9aef80cb24a828c,6499000000000000000000000000,Chedda Token,CHEDDA,18,235,3342550,178793625558,2743763,16805805,deprecated,612687
43,13993407,1642026346,0x5e1d69c2d7be9c0bb8b54f63f7992b76943e391af54f9ec85771ccbb8bbb6159,11,0xc9dd3716fc42eebcfaa8d2a5836d509265aa7adccafabcdebe7423633395450e,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0x000000000000000000000000000000000000dead,50000000000000000000000000000,Chedda Token,CHEDDA,18,37,82963,192653624736,55309,2309767,deprecated,612642
80,13993502,1642027612,0x8522df3f5a3415f87d2ca3fdf3ae457ab1ca5000d85fa56089d3aedc31a0c9fc,12,0xc800dc9fa2e44833ec881fa38117a0b1f7e94a8fe2be1d782e71e859ffb83914,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0x1d3e1ce1b7d9ae6e918357ebc1afd151b5ca5ba4,1500000000000000000000000000,Chedda Token,CHEDDA,18,281,57637,241429346188,38425,14324368,deprecated,612547
